kernel_size,Type,Time(%),Time,Calls,Avg,Min,Max,Name
3,GPU activities,3.22058,1637.928,100,16.379,14.88,19.008,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
3,GPU activities,2.630136,1337.639,100,13.376,12.384,14.048,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
5,GPU activities,6.629673,3683.628,100,36.836,36.256,37.984,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
5,GPU activities,5.93085,3295.343,100,32.953,32.672,33.472,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
7,GPU activities,8.015233,4572.086,100,45.72,45.184,47.072,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
7,GPU activities,7.281116,4153.328,100,41.533,41.152,42.081,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
9,GPU activities,9.13173,5370.513,100,53.705,53.056,54.816,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
9,GPU activities,8.50867,5004.082,100,50.04,49.664,50.688,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
11,GPU activities,12.368009,7884.168,100,78.841,59.04,79.424,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
11,GPU activities,12.110667,7720.122,100,77.201,60.864,80.897,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
13,GPU activities,13.250398,8613.116,100,86.131,71.072,91.937,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
13,GPU activities,12.61108,8197.542,100,81.975,67.457,82.784,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
15,GPU activities,14.302198,9545.986,100,95.459,80.672,99.168,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
15,GPU activities,13.609039,9083.338,100,90.833,90.208,91.616,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
17,GPU activities,15.140811,10394.012,100,103.94,88.993,105.697,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
17,GPU activities,14.432931,9908.06,100,99.08,98.433,100.129,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
19,GPU activities,16.024307,11246.787,100,112.467,97.793,114.08,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
19,GPU activities,15.339613,10766.229,100,107.662,107.04,108.96,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
21,GPU activities,16.852847,12098.097,100,120.98,105.921,122.273,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
21,GPU activities,16.164894,11604.238,100,116.042,115.393,117.312,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
23,GPU activities,17.356554,12670.962,100,126.709,111.233,129.089,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
23,GPU activities,16.63979,12147.696,100,121.476,120.832,122.305,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
25,GPU activities,18.425987,13931.75,100,139.317,124.736,142.305,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
25,GPU activities,17.60035,13307.492,100,133.074,132.16,134.433,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
27,GPU activities,19.258014,14878.871,100,148.788,133.665,151.553,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
27,GPU activities,18.302146,14140.361,100,141.403,127.009,143.169,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
29,GPU activities,19.029689,14588.43,100,145.884,131.041,148.001,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
29,GPU activities,18.176318,13934.223,100,139.342,138.592,140.416,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
31,GPU activities,20.34844,16410.361,100,164.103,150.113,166.24,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
31,GPU activities,19.694166,15882.71,100,158.827,157.376,160.833,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
33,GPU activities,21.198392,17433.663,100,174.336,159.072,176.801,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
33,GPU activities,20.268356,16668.797,100,166.687,151.777,168.833,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
35,GPU activities,21.830089,18412.397,100,184.123,169.568,186.337,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
35,GPU activities,20.84882,17584.754,100,175.847,160.769,178.785,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
37,GPU activities,22.385691,19256.98,100,192.569,177.729,195.169,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
37,GPU activities,21.410221,18417.846,100,184.178,169.025,187.361,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
39,GPU activities,22.852951,20003.724,100,200.037,185.889,202.24,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
39,GPU activities,22.013946,19269.323,100,192.693,176.545,194.945,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
41,GPU activities,23.543459,21066.388,100,210.663,195.872,212.737,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
41,GPU activities,22.531333,20160.75,100,201.607,200.577,203.041,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
43,GPU activities,23.980017,21757.804,100,217.578,195.073,220.801,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
43,GPU activities,23.010525,20878.155,100,208.781,185.825,213.153,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
45,GPU activities,23.172873,20300.929,100,203.009,188.481,205.344,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
