kernel_size,Type,Time(%),Time,Calls,Avg,Min,Max,Name
45,GPU activities,22.162039,19415.373,100,194.153,180.801,196.353,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
47,GPU activities,24.935247,23547.201,100,235.472,220.417,237.825,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
47,GPU activities,24.005801,22669.494,100,226.694,225.121,234.369,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
49,GPU activities,22.783415,19651.799,100,196.517,181.569,199.137,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
49,GPU activities,21.677529,18697.919,100,186.979,173.825,189.089,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
51,GPU activities,26.021312,25552.509,100,255.525,241.377,257.409,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
51,GPU activities,24.812452,24365.428,100,243.654,241.249,245.537,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
53,GPU activities,25.388018,24281.84,100,242.818,202.785,246.817,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
53,GPU activities,24.273304,23215.695,100,232.156,192.385,236.001,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
55,GPU activities,23.516032,20855.156,100,208.551,194.112,210.881,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
55,GPU activities,22.561674,20008.785,100,200.087,196.321,202.497,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
57,GPU activities,24.482434,22347.054,100,223.47,194.337,226.945,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
57,GPU activities,23.178308,21156.675,100,211.566,177.537,216.289,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
59,GPU activities,22.997689,20075.957,100,200.759,185.665,208.385,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
59,GPU activities,21.722386,18962.674,100,189.626,174.848,191.265,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
61,GPU activities,27.862621,29528.757,100,295.287,250.88,301.344,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
61,GPU activities,26.55698,28145.041,100,281.45,222.817,288.129,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
63,GPU activities,26.202372,25686.212,100,256.862,242.049,258.625,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
63,GPU activities,25.098639,24604.221,100,246.042,233.473,248.641,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
65,GPU activities,25.794606,24835.207,100,248.352,232.897,250.689,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
65,GPU activities,24.503605,23592.223,100,235.922,234.081,238.689,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
67,GPU activities,23.629048,20854.846,100,208.548,204.321,210.112,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
67,GPU activities,22.271093,19656.324,100,196.563,195.616,198.304,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
69,GPU activities,29.315766,32932.163,100,329.321,275.777,338.53,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
69,GPU activities,27.80104,31230.58,100,312.305,267.041,321.953,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
71,GPU activities,28.065914,29856.028,100,298.56,296.449,300.801,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
71,GPU activities,26.749816,28455.986,100,284.559,271.233,287.169,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
73,GPU activities,27.772403,29035.211,100,290.352,276.961,292.673,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
73,GPU activities,26.371188,27570.283,100,275.702,259.681,279.137,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
75,GPU activities,24.532687,22385.252,100,223.852,192.993,236.801,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
75,GPU activities,23.123293,21099.228,100,210.992,195.841,225.089,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
77,GPU activities,30.814882,37100.169,100,371.001,355.265,378.497,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
77,GPU activities,29.207061,35164.402,100,351.644,349.697,356.258,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
79,GPU activities,25.363634,24103.964,100,241.039,226.401,243.041,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
79,GPU activities,24.047782,22853.463,100,228.534,227.297,230.913,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
81,GPU activities,31.49849,39054.672,100,390.546,375.201,393.409,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
81,GPU activities,29.712689,36840.474,100,368.404,352.866,373.762,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
83,GPU activities,25.995173,25221.519,100,252.215,236.993,254.305,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
83,GPU activities,24.474747,23746.343,100,237.463,222.528,239.329,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
85,GPU activities,26.320358,25652.975,100,256.529,243.073,258.689,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
85,GPU activities,24.892791,24261.606,100,242.616,227.937,245.089,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
87,GPU activities,26.489188,26160.181,100,261.601,215.137,304.994,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
87,GPU activities,25.126921,24814.834,100,248.148,204.161,290.177,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
89,GPU activities,32.57742,42676.112,100,426.761,424.226,429.538,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
89,GPU activities,30.613884,40103.899,100,401.038,398.305,404.226,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
91,GPU activities,27.060123,27143.113,100,271.431,255.616,280.833,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
91,GPU activities,25.400724,25478.625,100,254.786,239.105,263.489,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
93,GPU activities,27.159478,27604.615,100,276.046,241.377,294.689,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
93,GPU activities,25.597994,26017.539,100,260.175,226.305,279.425,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
95,GPU activities,27.671672,28622.679,100,286.226,281.282,288.481,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
95,GPU activities,26.201054,27101.519,100,271.015,251.169,275.521,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
97,GPU activities,27.85297,28941.21,100,289.412,246.113,328.545,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
97,GPU activities,26.16487,27187.154,100,271.871,230.592,306.209,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
99,GPU activities,28.169747,29523.158,100,295.231,268.897,312.418,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
99,GPU activities,26.416077,27685.233,100,276.852,251.777,292.417,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
101,GPU activities,28.355157,30001.905,100,300.019,295.137,304.481,"void gaussian_blur_x<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
101,GPU activities,26.649297,28196.976,100,281.969,270.529,287.489,"void gaussian_blur_y<uchar3, uchar3, float3>(float*, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
